"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-18","76",,"71"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-19","76",,"70"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-20","72","87",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-21","65","73",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-22","62","68",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-23","64",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-24","66",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-25","66","74","61"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-26","67",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-27","69",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-28","73",,"64"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-29","76",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-30","80",,"67"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-31","76","94",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-01","74","79","71"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-02","74","80",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-03","76",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-04","80",,"68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-05","75","95",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-06","75",,"70"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-07","74","85",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-08","76",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-09","77","83",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-10","78",,"69"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-11","78","91","74"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-12","80",,"71"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-13","79","95","69"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-14","80",,"67"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-15","75","96",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-16","76",,"71"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-17","77",,"68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-18","77","94",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-19","78",,"72"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-20","74","87",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-21","73",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-22","68","80",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-23","69",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-24","73",,"67"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-25","74",,"66"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-26","77",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-27","83",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-28","81","99",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-29","76","91",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-09-30","79",,"72"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-01","82",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-02","87",,"75"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-03","82","103",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-04","75","88",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-05","76",,"71"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-06","80",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-07","78","93",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-08","78",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-09","76","82",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-10","75",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-11","71","78",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-12","73",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-13","77",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-14","80",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-15","77","89",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-16","72","79",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-17","71",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-18","74",,"68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-19","75",,"68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-20","78",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-21","78","89","73"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-22","75","85","70"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-23","75",,"68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-24","75","84","70"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-25","75","83",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-26","74","82",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-27","76",,"70"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-28","81",,"72"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-29","80","95",
